排名,球员姓名,英文名,国家,位置,所属球队,联赛,评级分数,评级等级
1,基利安·姆巴佩,Kylian Mbappé,法国,前锋,皇家马德里,西甲,97,SSS
2,埃尔林·哈兰德,Erling Haaland,挪威,前锋,曼城,英超,96,SSS
3,小维尼修斯,Vinícius Júnior,巴西,前锋,皇家马德里,西甲,96,SSS
4,裘德·贝林厄姆,Jude Bellingham,英格兰,中场,皇家马德里,西甲,95,SS
5,罗德里戈,Rodrygo,巴西,前锋,皇家马德里,西甲,95,SS
6,费德里科·巴尔韦德,Federico Valverde,乌拉圭,中场,皇家马德里,西甲,94,SS
7,莱万多夫斯基,Robert Lewandowski,波兰,前锋,巴塞罗那,西甲,93,S
8,佩德里,Pedri,西班牙,中场,巴塞罗那,西甲,93,S
9,穆罕默德·萨拉赫,Mohamed Salah,埃及,前锋,利物浦,英超,93,S
10,劳塔罗·马丁内斯,Lautaro Martínez,阿根廷,前锋,国际米兰,意甲,93,S
11,凯文·德布劳内,Kevin De Bruyne,比利时,中场,曼城,英超,95,SS
12,哈里·凯恩,Harry Kane,英格兰,前锋,拜仁慕尼黑,德甲,95,SS
13,罗德里,Rodri,西班牙,中场,曼城,英超,94,SS
14,贾马尔·穆西亚拉,Jamal Musiala,德国,中场,拜仁慕尼黑,德甲,92,S
15,菲尔·福登,Phil Foden,英格兰,中场,曼城,英超,92,S
16,布卡约·萨卡,Bukayo Saka,英格兰,前锋,阿森纳,英超,92,S
17,科尔·帕尔默,Cole Palmer,英格兰,前锋,切尔西,英超,91,S
18,马丁·厄德高,Martin Ødegaard,挪威,中场,阿森纳,英超,91,S
19,加维,Gavi,西班牙,中场,巴塞罗那,西甲,91,S
20,克瓦拉茨赫利亚,Khvicha Kvaratskhelia,格鲁吉亚,前锋,那不勒斯,意甲,91,S
21,托尼·克罗斯,Toni Kroos,德国,中场,皇家马德里,西甲,92,S
22,库尔图瓦,Thibaut Courtois,比利时,守门员,皇家马德里,西甲,92,S
23,范戴克,Virgil van Dijk,荷兰,后卫,利物浦,英超,91,S
24,威廉·萨利巴,William Saliba,法国,后卫,阿森纳,英超,90,A
25,拉斐尔·莱奥,Rafael Leão,葡萄牙,前锋,AC米兰,意甲,90,A
26,孙兴慜,Son Heung-min,韩国,前锋,热刺,英超,90,A
27,扬·索默,Yan Sommer,瑞士,守门员,国际米兰,意甲,87,A
28,特奥·埃尔南德斯,Theo Hernandez,法国,后卫,AC米兰,意甲,89,A
29,迈克·迈尼昂,Mike Maignan,法国,守门员,AC米兰,意甲,88,A
30,尼科洛·巴雷拉,Nicolò Barella,意大利,中场,国际米兰,意甲,89,A
31,恰尔汗奥卢,Hakan Çalhanoğlu,土耳其,中场,国际米兰,意甲,87,A
32,马库斯·图拉姆,Marcus Thuram,法国,前锋,国际米兰,意甲,87,A
33,杜桑·弗拉霍维奇,Dušan Vlahović,塞尔维亚,前锋,尤文图斯,意甲,88,A
34,费德里科·基耶萨,Federico Chiesa,意大利,前锋,尤文图斯,意甲,87,A
35,金玟哉,Kim Min-jae,韩国,后卫,拜仁慕尼黑,德甲,88,A
36,阿什拉夫·哈基米,Achraf Hakimi,摩洛哥,后卫,巴黎圣日耳曼,法甲,88,A
37,朱利安·阿尔瓦雷斯,Julián Álvarez,阿根廷,前锋,曼城,英超,90,A
38,鲁本·迪亚斯,Rúben Dias,葡萄牙,后卫,曼城,英超,89,A
39,贝尔纳多·席尔瓦,Bernardo Silva,葡萄牙,中场,曼城,英超,91,S
40,弗兰基·德容,Frenkie de Jong,荷兰,中场,巴塞罗那,西甲,89,A
41,加布里埃尔·马丁内利,Gabriel Martinelli,巴西,前锋,阿森纳,英超,89,A
42,特伦特·亚历山大-阿诺德,Trent Alexander-Arnold,英格兰,后卫,利物浦,英超,90,A
43,詹姆斯·麦迪逊,James Maddison,英格兰,中场,热刺,英超,87,A
44,亚历山大·伊萨克,Alexander Isak,瑞典,前锋,纽卡斯尔联,英超,87,A
45,布鲁诺·费尔南德斯,Bruno Fernandes,葡萄牙,中场,曼联,英超,90,A
46,恩佐·费尔南德斯,Enzo Fernández,阿根廷,中场,切尔西,英超,87,A
47,德克兰·赖斯,Declan Rice,英格兰,中场,阿森纳,英超,90,A
48,加布里埃尔·马加良斯,Gabriel Magalhães,巴西,后卫,阿森纳,英超,88,A
49,伊尔凯·京多安,İlkay Gündoğan,德国,中场,巴塞罗那,西甲,87,A
50,朱尔斯·孔德,Jules Koundé,法国,后卫,巴塞罗那,西甲,88,A
51,罗纳德·阿劳霍,Ronald Araujo,乌拉圭,后卫,巴塞罗那,西甲,88,A
52,特尔施特根,Marc-André ter Stegen,德国,守门员,巴塞罗那,西甲,90,A
53,扬·奥布拉克,Jan Oblak,斯洛文尼亚,守门员,马德里竞技,西甲,90,A
54,安托万·格列兹曼,Antoine Griezmann,法国,前锋,马德里竞技,西甲,90,A
55,多纳鲁马,Gianluigi Donnarumma,意大利,守门员,巴黎圣日耳曼,法甲,90,A
56,埃德森,Ederson,巴西,守门员,曼城,英超,88,A
57,阿利森,Alisson Becker,巴西,守门员,利物浦,英超,90,A
58,诺伊尔,Manuel Neuer,德国,守门员,拜仁慕尼黑,德甲,90,A
59,大卫·阿拉巴,David Alaba,奥地利,后卫,皇家马德里,西甲,85,A
60,丹尼尔·卡瓦哈尔,Dani Carvajal,西班牙,后卫,皇家马德里,西甲,87,A
61,埃德尔·米利唐,Éder Militão,巴西,后卫,皇家马德里,西甲,87,A
62,卢卡·莫德里奇,Luka Modrić,克罗地亚,中场,皇家马德里,西甲,90,A
63,奥斯曼·登贝莱,Ousmane Dembélé,法国,前锋,巴黎圣日耳曼,法甲,89,A
64,布拉德利·科纳特,Bradley Barcola,法国,前锋,巴黎圣日耳曼,法甲,87,A
65,维克托·奥斯梅恩,Victor Osimhen,尼日利亚,前锋,那不勒斯,意甲,92,S
66,拉明·雅穆苏,Lamine Yamal,西班牙,前锋,巴塞罗那,西甲,90,A
67,弗洛里安·维尔茨,Florian Wirtz,德国,中场,勒沃库森,德甲,91,S
68,保罗·迪巴拉,Paulo Dybala,阿根廷,前锋,罗马,意甲,88,A
69,奇罗·因莫比莱,Ciro Immobile,意大利,前锋,拉齐奥,意甲,88,A
70,米林科维奇,Sergej Milinković-Savic,塞尔维亚,中场,利雅得新月,沙特联,87,A
71,马特乌斯·努内斯,Matheus Nunes,葡萄牙,中场,曼城,英超,82,B
72,马特奥·科瓦契奇,Mateo Kovačić,克罗地亚,中场,曼城,英超,83,B
73,约翰·斯通斯,John Stones,英格兰,后卫,曼城,英超,86,B
74,凯尔·沃克,Kyle Walker,英格兰,后卫,曼城,英超,85,B
75,曼努埃尔·阿坎吉,Manuel Akanji,瑞士,后卫,曼城,英超,84,B
76,杰克·格里利什,Jack Grealish,英格兰,中场,曼城,英超,86,B
77,路易斯·迪亚斯,Luis Díaz,哥伦比亚,前锋,利物浦,英超,88,A
78,达尔温·努涅斯,Darwin Núñez,乌拉圭,前锋,利物浦,英超,86,B
79,科迪·加克波,Cody Gakpo,荷兰,前锋,利物浦,英超,84,B
80,多米尼克·索博斯洛伊,Dominik Szoboszlai,匈牙利,中场,利物浦,英超,85,B
81,麦克·阿利斯特,Alexis Mac Allister,阿根廷,中场,利物浦,英超,86,B
82,布伦南·约翰逊,Brennan Johnson,威尔士,前锋,热刺,英超,82,B
83,德扬·库卢塞夫斯基,Dejan Kulusevski,瑞典,前锋,热刺,英超,83,B
84,米基·范德文,Micky van de Ven,荷兰,后卫,热刺,英超,83,B
85,伊夫·比苏马,Yves Bissouma,马里,中场,热刺,英超,81,B
86,克里斯蒂安·普利西奇,Christian Pulisic,美国,前锋,AC米兰,意甲,85,B
87,莫伊塞斯·凯塞多,Moises Caicedo,厄瓜多尔,中场,切尔西,英超,85,B
88,拉希姆·斯特林,Raheem Sterling,英格兰,前锋,切尔西,英超,83,B
89,尼古拉斯·杰克逊,Nicolas Jackson,塞内加尔,前锋,切尔西,英超,80,B
90,蒂亚戈·席尔瓦,Thiago Silva,巴西,后卫,切尔西,英超,82,B
91,利瓦伊·科尔威尔,Levi Colwill,英格兰,后卫,切尔西,英超,80,B
92,罗伯特·桑切斯,Robert Sánchez,西班牙,守门员,切尔西,英超,79,C
93,马库斯·拉什福德,Marcus Rashford,英格兰,前锋,曼联,英超,85,B
94,亚历杭德罗·加纳乔,Alejandro Garnacho,阿根廷,前锋,曼联,英超,84,B
95,梅森·芒特,Mason Mount,英格兰,中场,曼联,英超,82,B
96,卡塞米罗,Casemiro,巴西,中场,曼联,英超,84,B
97,拉斯穆斯·霍伊伦德,Rasmus Højlund,丹麦,前锋,曼联,英超,82,B
98,拉斐尔·瓦拉内,Raphaël Varane,法国,后卫,曼联,英超,84,B
99,利桑德罗·马丁内斯,Lisandro Martínez,阿根廷,后卫,曼联,英超,85,B
100,维克托·林德洛夫,Victor Lindelöf,瑞典,后卫,曼联,英超,81,B
